objectid,filename,title-es,creator,description-es,date,locations_es,location_first_#NAME?,location_first_es,latitude_first,longitude_first,location_second_#NAME?,location_second_es,latitude_second,longitude_second,location_third_#NAME?,location_third_es,latitude_third,longitude_third,location_fourth_#NAME?,location_fourth_es,latitude_fourth,longitude_fourth,subject-es,language,source,format,type,rights,rightsstatement,vimeoid,youtubeid,#NAME?,#NAME?,#NAME?,#NAME?,gender-strategy,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,LND_or_LNI,#NAME?,#NAME?,#NAME?,#NAME?,university-collection,parentid,image_thumb,embedding_webpage
bortoli,https://doi.org/10.53971/2718.658x.v13.n22.39628,Lenguaje no binario en las aulas: lo disruptivo de la emergencia social frente al poder de la norma,Pamela V. Bórtoli,,2022,Argentina,,Argentina,-34.6069,-58.3946,,,,,,,,,,,,,Trabajo académico;Material pedagógico,,Recial,application/html,Academic Article,,,,,Lenguaje no binario en las aulas: lo disruptivo de la emergencia social frente al poder de la norma,Paper exploring how non-binary language challenges institutional norms within classrooms in Argentina.,Argentina,Academic Work;Pedagogical material,asterisco;letra-x;letra-e,Lenguaje no binario en las aulas: lo disruptivo de la emergencia social frente al poder de la norma,Paper exploring how non-binary language challenges institutional norms within classrooms in Argentina.,Argentina,Academic Work;Pedagogical material,Lenguaje no binario en las aulas: lo disruptivo de la emergencia social frente al poder de la norma,Paper exploring how non-binary language challenges institutional norms within classrooms in Argentina.,Argentina,Academic Work;Pedagogical material,Direct Non-Binary Spanish; Pedagogy,Lenguaje no binario en las aulas: lo disruptivo de la emergencia social frente al poder de la norma,Paper exploring how non-binary language challenges institutional norms within classrooms in Argentina.,Argentina,Academic Work;Pedagogical material,,,https://raw.githubusercontent.com/eugestumm/gender-inclusive-spanish-digital-archive/77d582bbca1f4877ba20f5d2850b8ae9977c237a/objects/Bortoli.jpg,
cuba,https://academicworks.cuny.edu/gc_etds/5925,"Féminas Speaking Up: Three Papers on Feminine Transgender Identities, Gender Identity Activism, and Language Reform in Lima, Peru",Ernesto Cuba,,2024,Peru,,Peru,-12.0464,-77.0428,,,,,,,,,,,,,Trabajo académico,,CUNY Academic Works,application/html,Dissertation,open-access,,,,"Féminas Speaking Up: Three Papers on Feminine Transgender Identities, Gender Identity Activism, and Language Reform in Lima, Peru",Doctoral dissertation examining trans and non-binary activism through the cryptolect Lóxoro and inclusive language in Peru.,Peru,Academic Work,letra-x;letra-e,"Féminas Speaking Up: Three Papers on Feminine Transgender Identities, Gender Identity Activism, and Language Reform in Lima, Peru",Doctoral dissertation examining trans and non-binary activism through the cryptolect Lóxoro and inclusive language in Peru.,Peru,Academic Work,"Féminas Speaking Up: Three Papers on Feminine Transgender Identities, Gender Identity Activism, and Language Reform in Lima, Peru",Doctoral dissertation examining trans and non-binary activism through the cryptolect Lóxoro and inclusive language in Peru.,Peru,Academic Work,Direct Non-Binary Spanish,"Féminas Speaking Up: Three Papers on Feminine Transgender Identities, Gender Identity Activism, and Language Reform in Lima, Peru",Doctoral dissertation examining trans and non-binary activism through the cryptolect Lóxoro and inclusive language in Peru.,Peru,Academic Work,,,,
demauro,https://www.bn.gov.ar/micrositios/admin_assets/issues/files/9118ded652d15279ac7730b15c18737b.pdf,Antología degenerada: una cartografía del lenguaje inclusivo,Sofía De Mauro (ed.),,2021,Argentina,,Argentina,-34.6069,-58.3946,,,,,,,,,,,,,Trabajo académico,,Biblioteca Nacional,application/pdf,Anthology,,,,,Antología degenerada: una cartografía del lenguaje inclusivo,Anthology of inclusive and non-binary linguistic reflections and creative works from Argentina.,Argentina,Academic Work,asterisco;letra-x;letra-e,Antología degenerada: una cartografía del lenguaje inclusivo,Anthology of inclusive and non-binary linguistic reflections and creative works from Argentina.,Argentina,Academic Work,Antología degenerada: una cartografía del lenguaje inclusivo,Anthology of inclusive and non-binary linguistic reflections and creative works from Argentina.,Argentina,Academic Work,Direct Non-Binary Spanish;Indirect Non-Binary Spanish,Antología degenerada: una cartografía del lenguaje inclusivo,Anthology of inclusive and non-binary linguistic reflections and creative works from Argentina.,Argentina,Academic Work,,,https://libremos.com.ar/wp-content/uploads/2022/05/Antologia-degenerada-Tapa.jpg,
diaz,https://doi.org/10.5070/L214356302,Gender Neutral and Non-Binary Language Practices in the Spanish Language Classroom: Tensions between Disciplinary and Societal Changes,Adriana Raquel Diaz; et al.,,2022,Australia,,Australia,40.748,-73.984,,,,,,,,,,,,,Pedagogía;Trabajo académico,,L2 Journal,application/html,Academic Article,,,,,Gender Neutral and Non-Binary Language Practices in the Spanish Language Classroom: Tensions between Disciplinary and Societal Changes,Study analyzing tensions between social and institutional forces in the use of inclusive Spanish in language classrooms.,Australia,Pedagogy;Academic Work,,Gender Neutral and Non-Binary Language Practices in the Spanish Language Classroom: Tensions between Disciplinary and Societal Changes,Study analyzing tensions between social and institutional forces in the use of inclusive Spanish in language classrooms.,Australia,Pedagogy;Academic Work,Gender Neutral and Non-Binary Language Practices in the Spanish Language Classroom: Tensions between Disciplinary and Societal Changes,Study analyzing tensions between social and institutional forces in the use of inclusive Spanish in language classrooms.,Australia,Pedagogy;Academic Work,Direct Non-Binary Spanish,Gender Neutral and Non-Binary Language Practices in the Spanish Language Classroom: Tensions between Disciplinary and Societal Changes,Study analyzing tensions between social and institutional forces in the use of inclusive Spanish in language classrooms.,Australia,Pedagogy;Academic Work,,,https://raw.githubusercontent.com/eugestumm/gender-inclusive-spanish-digital-archive/77d582bbca1f4877ba20f5d2850b8ae9977c237a/objects/Diaz.jpg,
escajaprunes,https://www.anle.us/site/assets/files/1575/por-un-lenguaje-inclusivo.pdf,Por un lenguaje inclusivo: estudios y reflexiones sobre estrategias no sexistas en la lengua española,Tina Escaja;María Natalia Prunes,,2021,New York;United States,,New York,40.748,-73.984,,United States,,,,,,,,,,,Trabajo académico,,Academia Norteamericana de la Lengua Española,application/pdf,Edited Volume,,,,,Por un lenguaje inclusivo: estudios y reflexiones sobre estrategias no sexistas en la lengua española,Collection of essays addressing inclusive and non-sexist strategies in the Spanish language.,New York;United States,Academic Work,,Por un lenguaje inclusivo: estudios y reflexiones sobre estrategias no sexistas en la lengua española,Collection of essays addressing inclusive and non-sexist strategies in the Spanish language.,New York;United States,Academic Work,Por un lenguaje inclusivo: estudios y reflexiones sobre estrategias no sexistas en la lengua española,Collection of essays addressing inclusive and non-sexist strategies in the Spanish language.,New York;United States,Academic Work,Indirect Non-Binary Spanish;Direct Non-Binary Spanish,Por un lenguaje inclusivo: estudios y reflexiones sobre estrategias no sexistas en la lengua española,Collection of essays addressing inclusive and non-sexist strategies in the Spanish language.,New York;United States,Academic Work,,,https://www.anle.us/site/assets/files/1575/por-un-lenguaje-inclusivo.800x1200.jpg,
lopezartemis,https://fh.mdp.edu.ar/revistas/index.php/cuarentanaipes/article/view/4891,Cuando el lenguaje excluye: consideraciones sobre el lenguaje no binario indirecto,Ártemis López,,2020,Spain,,Spain,40.4168,-3.7038,,,,,,,,,,,,,Trabajo académico,,Cuarenta Naipes,application/html,Academic Article,,,,,Cuando el lenguaje excluye: consideraciones sobre el lenguaje no binario indirecto,Article discussing indirect non-binary language and its implications for linguistic inclusivity.,Spain,Academic Work,letra-e,Cuando el lenguaje excluye: consideraciones sobre el lenguaje no binario indirecto,Article discussing indirect non-binary language and its implications for linguistic inclusivity.,Spain,Academic Work,Cuando el lenguaje excluye: consideraciones sobre el lenguaje no binario indirecto,Article discussing indirect non-binary language and its implications for linguistic inclusivity.,Spain,Academic Work,Indirect Non-Binary Spanish;Direct Non-Binary Spanish,Cuando el lenguaje excluye: consideraciones sobre el lenguaje no binario indirecto,Article discussing indirect non-binary language and its implications for linguistic inclusivity.,Spain,Academic Work,,,https://raw.githubusercontent.com/eugestumm/gender-inclusive-spanish-digital-archive/77d582bbca1f4877ba20f5d2850b8ae9977c237a/objects/lopez.jpg,
papadopoulos2021,https://doi.org/10.35869/hafh.v24i2.4106,The Definitional Dilemma of Gender in Language,Ben Papadopoulos,,2021,Berkeley;United States,,Berkeley,37.8716042665462,-122.255521935501,,United States,,,,,,,,,,,Trabajo académico,,Hesperia: Anuario de Filología Hispánica,application/html,Academic Article,open-access,,,,The Definitional Dilemma of Gender in Language,Article exploring theoretical problems defining gender categories within Spanish grammar.,Berkeley;United States,Academic Work,letra-e;letra-x,The Definitional Dilemma of Gender in Language,Article exploring theoretical problems defining gender categories within Spanish grammar.,Berkeley;United States,Academic Work,The Definitional Dilemma of Gender in Language,Article exploring theoretical problems defining gender categories within Spanish grammar.,Berkeley;United States,Academic Work,Direct Non-Binary Spanish,The Definitional Dilemma of Gender in Language,Article exploring theoretical problems defining gender categories within Spanish grammar.,Berkeley;United States,Academic Work,,,https://raw.githubusercontent.com/eugestumm/gender-inclusive-spanish-digital-archive/77d582bbca1f4877ba20f5d2850b8ae9977c237a/objects/papa1.jpg,
papadopoulos2022,https://www.unive.it/pag/fileadmin/user_upload/dipartimenti/DSLCC/documenti/DEP/numeri/n48/07_Papadopoulos_Spanish.pdf,Una breve historia del español no binario,Ben Papadopoulos,,2022,Berkeley;United States,,Berkeley,37.8716042665462,-122.255521935501,,United States,,,,,,,,,,,Trabajo académico,,"DEP. Deportate, Esuli, Profughe",application/pdf,Academic Article,open-access,,,,Una breve historia del español no binario,Short article summarizing the emergence and historical evolution of non-binary Spanish.,Berkeley;United States,Academic Work,arroba;letra-e;letra-x;asterisco,Una breve historia del español no binario,Short article summarizing the emergence and historical evolution of non-binary Spanish.,Berkeley;United States,Academic Work,Una breve historia del español no binario,Short article summarizing the emergence and historical evolution of non-binary Spanish.,Berkeley;United States,Academic Work,Direct Non-Binary Spanish;Indirect Non-Binary Spanish,Una breve historia del español no binario,Short article summarizing the emergence and historical evolution of non-binary Spanish.,Berkeley;United States,Academic Work,,,https://raw.githubusercontent.com/eugestumm/gender-inclusive-spanish-digital-archive/77d582bbca1f4877ba20f5d2850b8ae9977c237a/objects/papa2.jpg,
parraserafini,https://www.tandfonline.com/doi/full/10.1080/23247797.2021.2012739,“Bienvenidxs Todes”: el lenguaje inclusivo desde una perspectiva crítica para las clases de español,María Luisa Parra; Ellen J. Serafini,,2022,Cambridge;United States,,Cambridge,42.3746744762688,-71.118238089035,,United States,,,,,,,,,,,Trabajo académico;Material pedagógico,,Journal of Spanish Language Teaching,application/pdf,Academic Article,open-access,,,,“Bienvenidxs Todes”: el lenguaje inclusivo desde una perspectiva crítica para las clases de español,Critical pedagogical reflection on inclusive Spanish in language teaching contexts.,Cambridge;United States,Academic Work;Pedagogical material,letra-x;letra-e;arroba,“Bienvenidxs Todes”: el lenguaje inclusivo desde una perspectiva crítica para las clases de español,Critical pedagogical reflection on inclusive Spanish in language teaching contexts.,Cambridge;United States,Academic Work;Pedagogical material,“Bienvenidxs Todes”: el lenguaje inclusivo desde una perspectiva crítica para las clases de español,Critical pedagogical reflection on inclusive Spanish in language teaching contexts.,Cambridge;United States,Academic Work;Pedagogical material,Direct Non-Binary Spanish;Indirect Non-Binary Spanish,“Bienvenidxs Todes”: el lenguaje inclusivo desde una perspectiva crítica para las clases de español,Critical pedagogical reflection on inclusive Spanish in language teaching contexts.,Cambridge;United States,Academic Work;Pedagogical material,,,https://www.tandfonline.com/action/showCoverImage?doi=10.1080/rslt20.v008.i02,
payva,https://su.diva-portal.org/smash/get/diva2:1524310/FULLTEXT02.pdf,"Literature for ¿todes? Contemporary Argentine Literature, Inclusive Language and New Modes of Subjectivity",Marisa Payva,,2020,Sweden;Stockholm,,Sweden,-34.6069,-58.3946,,Stockholm,,,,,,,,,,,Trabajo académico,,University of Stockholm,application/pdf,Master’s Thesis,open-access,,,,"Literature for ¿todes? Contemporary Argentine Literature, Inclusive Language and New Modes of Subjectivity",Master’s thesis on inclusive language and collective subjectivity in contemporary Argentine literature.,Sweden;Stockholm,Academic Work,letra-x;letra-e,"Literature for ¿todes? Contemporary Argentine Literature, Inclusive Language and New Modes of Subjectivity",Master’s thesis on inclusive language and collective subjectivity in contemporary Argentine literature.,Sweden;Stockholm,Academic Work,"Literature for ¿todes? Contemporary Argentine Literature, Inclusive Language and New Modes of Subjectivity",Master’s thesis on inclusive language and collective subjectivity in contemporary Argentine literature.,Sweden;Stockholm,Academic Work,Direct Non-Binary Spanish;Indirect Non-Binary Spanish,"Literature for ¿todes? Contemporary Argentine Literature, Inclusive Language and New Modes of Subjectivity",Master’s thesis on inclusive language and collective subjectivity in contemporary Argentine literature.,Sweden;Stockholm,Academic Work,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxj19yywH7tNt3TUEzJd_7dj0TGzjMbm9CTA&s,
prunes,https://www.anle.us/site/assets/files/1575/por-un-lenguaje-inclusivo.pdf#page=23,La base política del lenguaje inclusivo,María Natalia Prunes,,2021,United States,,United States,40.748,-73.984,,,,,,,,,,,,,Trabajo académico;Material pedagógico,,In Por un lenguaje inclusivo (ANLE),application/pdf,Book Chapter,,,,,La base política del lenguaje inclusivo,Chapter analyzing the political foundations of inclusive Spanish.,United States,Academic Work;Pedagogical material,letra-e;letra-x,La base política del lenguaje inclusivo,Chapter analyzing the political foundations of inclusive Spanish.,United States,Academic Work;Pedagogical material,La base política del lenguaje inclusivo,Chapter analyzing the political foundations of inclusive Spanish.,United States,Academic Work;Pedagogical material,Direct Non-Binary Spanish;Indirect Non-Binary Spanish,La base política del lenguaje inclusivo,Chapter analyzing the political foundations of inclusive Spanish.,United States,Academic Work;Pedagogical material,,,,
rae2020,https://www.rae.es/sites/default/files/Informe_lenguaje_inclusivo.pdf,Informe de la Real Academia Española sobre el lenguaje inclusivo y cuestiones conexas,Real Academia Española,,2020,Spain,,Spain,40.4168,-3.7038,,,,,,,,,,,,,Trabajo académico,,RAE,application/pdf,Institutional Report,open-access,,,,Informe de la Real Academia Española sobre el lenguaje inclusivo y cuestiones conexas,Official RAE report rejecting direct non-binary language as ungrammatical.,Spain,Academic Work,,Informe de la Real Academia Española sobre el lenguaje inclusivo y cuestiones conexas,Official RAE report rejecting direct non-binary language as ungrammatical.,Spain,Academic Work,Informe de la Real Academia Española sobre el lenguaje inclusivo y cuestiones conexas,Official RAE report rejecting direct non-binary language as ungrammatical.,Spain,Academic Work,Indirect Non-Binary Spanish;Direct Non-Binary Spanish,Informe de la Real Academia Española sobre el lenguaje inclusivo y cuestiones conexas,Official RAE report rejecting direct non-binary language as ungrammatical.,Spain,Academic Work,,,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiWAk0meV5XoGl7KhBRIdcMUfoMjsf-PptntjYOpuNcAYxZZ9-tOcumbYhSeWqf9J5Y1IrLcrA8Qkd2yBcq17Y1BdmbnAeibTigoRhA8swPNulr0dbqxtMih09ZZu-EFJ6rA2VC6ITyrE0/s1600/bs+gram.jpg,
realesgil,http://hdl.handle.net/10138/319362,"Análisis contrastivo de las actitudes hacia el lenguaje inclusivo en Argentina, España y México",Maravillas Reales Gil,,2020,Helsinki;Finland,,Helsinki,61.7694261145263,26.274772792515,,Finland,,,,,,,,,,,Trabajo académico,,University of Helsinki,application/html,Master’s Thesis,open-access,,,,"Análisis contrastivo de las actitudes hacia el lenguaje inclusivo en Argentina, España y México",Master’s thesis comparing social attitudes toward inclusive Spanish across three countries.,Helsinki;Finland,Academic Work,letra-e;letra-x,"Análisis contrastivo de las actitudes hacia el lenguaje inclusivo en Argentina, España y México",Master’s thesis comparing social attitudes toward inclusive Spanish across three countries.,Helsinki;Finland,Academic Work,"Análisis contrastivo de las actitudes hacia el lenguaje inclusivo en Argentina, España y México",Master’s thesis comparing social attitudes toward inclusive Spanish across three countries.,Helsinki;Finland,Academic Work,Direct Non-Binary Spanish,"Análisis contrastivo de las actitudes hacia el lenguaje inclusivo en Argentina, España y México",Master’s thesis comparing social attitudes toward inclusive Spanish across three countries.,Helsinki;Finland,Academic Work,,,https://raw.githubusercontent.com/eugestumm/gender-inclusive-spanish-digital-archive/77d582bbca1f4877ba20f5d2850b8ae9977c237a/objects/realesgil.jpg,
theumer,https://www.bn.gov.ar/micrositios/admin_assets/issues/files/9118ded652d15279ac7730b15c18737b.pdf#page=60,"La voluntad de inclusión. Preguntas, más preguntas",Emmanuel Theumer,,2021,Argentina,,Argentina,-34.6069,-58.3946,,,,,,,,,,,,,Trabajo académico,,Antología Degenerada,application/pdf,Book Chapter,,,,,"La voluntad de inclusión. Preguntas, más preguntas",Essay reflecting on linguistic inclusion and the ethics of non-binary Spanish.,Argentina,Academic Work,letra-e,"La voluntad de inclusión. Preguntas, más preguntas",Essay reflecting on linguistic inclusion and the ethics of non-binary Spanish.,Argentina,Academic Work,"La voluntad de inclusión. Preguntas, más preguntas",Essay reflecting on linguistic inclusion and the ethics of non-binary Spanish.,Argentina,Academic Work,Direct Non-Binary Spanish,"La voluntad de inclusión. Preguntas, más preguntas",Essay reflecting on linguistic inclusion and the ethics of non-binary Spanish.,Argentina,Academic Work,,,https://libremos.com.ar/wp-content/uploads/2022/05/Antologia-degenerada-Tapa.jpg,
tosi,https://doi.org/10.15645/Alabe2019.20.11,Marcas discursivas de la diversidad: acerca del lenguaje no sexista y la educación lingüística: aproximaciones al caso argentino,Carolina Luciana Tosi,,2019,Argentina,,Argentina,-34.6069,-58.3946,,,,,,,,,,,,,Trabajo académico,,Álabe Revista de Investigación sobre Lectura y Escritura,application/html,Academic Article,,,,,Marcas discursivas de la diversidad: acerca del lenguaje no sexista y la educación lingüística: aproximaciones al caso argentino,Paper addressing inclusive and non-sexist discourse markers in Argentine education.,Argentina,Academic Work,,Marcas discursivas de la diversidad: acerca del lenguaje no sexista y la educación lingüística: aproximaciones al caso argentino,Paper addressing inclusive and non-sexist discourse markers in Argentine education.,Argentina,Academic Work,Marcas discursivas de la diversidad: acerca del lenguaje no sexista y la educación lingüística: aproximaciones al caso argentino,Paper addressing inclusive and non-sexist discourse markers in Argentine education.,Argentina,Academic Work,Indirect Non-Binary Spanish;Direct Non-Binary Spanish,Marcas discursivas de la diversidad: acerca del lenguaje no sexista y la educación lingüística: aproximaciones al caso argentino,Paper addressing inclusive and non-sexist discourse markers in Argentine education.,Argentina,Academic Work,,,https://i1.rgstatic.net/publication/334489227_Marcas_discursivas_de_la_diversidad_Acerca_del_lenguaje_no_sexista_y_la_educacion_linguistica_aproximaciones_al_caso_argentino/links/5d2dcd63299bf1547cbc844f/largepreview.png,
zunino,https://doi.org/10.1590/1981-5794-e14546,¿Binario o no binario? Morfología de género en español: diferencias dependientes de la tarea,Gabriela Mariel Zunino; Noelia Ayelén Stetie,,2022,Argentina,,Argentina,-34.6069,-58.3946,,,,,,,,,,,,,Trabajo académico,,Alfa: Revista de Lingüística,application/html,Academic Article,,,,,¿Binario o no binario? Morfología de género en español: diferencias dependientes de la tarea,Study on morphological gender differences in Spanish and how they relate to task type.,Argentina,Academic Work,letra-e;letra-x,¿Binario o no binario? Morfología de género en español: diferencias dependientes de la tarea,Study on morphological gender differences in Spanish and how they relate to task type.,Argentina,Academic Work,¿Binario o no binario? Morfología de género en español: diferencias dependientes de la tarea,Study on morphological gender differences in Spanish and how they relate to task type.,Argentina,Academic Work,Direct Non-Binary Spanish,¿Binario o no binario? Morfología de género en español: diferencias dependientes de la tarea,Study on morphological gender differences in Spanish and how they relate to task type.,Argentina,Academic Work,,,https://raw.githubusercontent.com/eugestumm/gender-inclusive-spanish-digital-archive/77d582bbca1f4877ba20f5d2850b8ae9977c237a/objects/Zunina.jpg,
devuelvanoseloro,https://traficantes.net/sites/default/files/pdfs/LIBROPDF1-ilovepdf-compressed-2.pdf,Devuélvannos el Oro. Cosmovisiones Perversas y Acciones Anticoloniales.,Colectivo Ayllu,,2017,Madrid;Spain,,Madrid,40.4165,-3.70256,,Spain,,,,,,,,,,,Poesía;Narrativa,,,application/pdf,,CC-BY-ND 4,,,,Devuélvannos el Oro. Cosmovisiones Perversas y Acciones Anticoloniales.,Anthology of texts by insurgent migrants in Spain.,Madrid;Spain,Poetry;Narrative,letra-x,Devuélvannos el Oro. Cosmovisiones Perversas y Acciones Anticoloniales.,Anthology of texts by insurgent migrants in Spain.,Madrid;Spain,Poetry;Narrative,Devuélvannos el Oro. Cosmovisiones Perversas y Acciones Anticoloniales.,Anthology of texts by insurgent migrants in Spain.,Madrid;Spain,Poetry;Narrative,Direct Non-Binary Spanish,Devuélvannos el Oro. Cosmovisiones Perversas y Acciones Anticoloniales.,Anthology of texts by insurgent migrants in Spain.,Madrid;Spain,Poetry;Narrative,,,,
ecocidios,,Ecocidios,lautopía ,,2019,Buenos Aires;Argentina,,Buenos Aires,,,,Argentina,,,,,,,,,,,Fanzine,,Tulane University - The Doris Z. Stone Latin American Library and Research Center,,,,,,,Ecocidios,"Compilation of cartoon draws made between 2016 and 2028 and published in 2019 in Argentina. The anthology was printed in ""Papel Naturaleza Reciclado"" [Recycled Nature Paper] as part of the ""talleres de Cooperativa Gráfica del Pueblo"" in Buenos Aires, Argentina. It features the use of -@ gender-inclusive marker, as in ""vegetarian@,"" ""flexitarian@"", etc. ",Buenos Aires;Argentina,Fanzine,arroba,Ecocidios,"Compilation of cartoon draws made between 2016 and 2028 and published in 2019 in Argentina. The anthology was printed in ""Papel Naturaleza Reciclado"" [Recycled Nature Paper] as part of the ""talleres de Cooperativa Gráfica del Pueblo"" in Buenos Aires, Argentina. It features the use of -@ gender-inclusive marker, as in ""vegetarian@,"" ""flexitarian@"", etc. ",Buenos Aires;Argentina,Fanzine,Ecocidios,"Compilation of cartoon draws made between 2016 and 2028 and published in 2019 in Argentina. The anthology was printed in ""Papel Naturaleza Reciclado"" [Recycled Nature Paper] as part of the ""talleres de Cooperativa Gráfica del Pueblo"" in Buenos Aires, Argentina. It features the use of -@ gender-inclusive marker, as in ""vegetarian@,"" ""flexitarian@"", etc. ",Buenos Aires;Argentina,Fanzine,,Ecocidios,"Compilation of cartoon draws made between 2016 and 2028 and published in 2019 in Argentina. The anthology was printed in ""Papel Naturaleza Reciclado"" [Recycled Nature Paper] as part of the ""talleres de Cooperativa Gráfica del Pueblo"" in Buenos Aires, Argentina. It features the use of -@ gender-inclusive marker, as in ""vegetarian@,"" ""flexitarian@"", etc. ",Buenos Aires;Argentina,Fanzine,Tulane University - The Doris Z. Stone Latin American Library and Research Center,,,
chuncanxs,,Chuncanxs,Espacio del I Foro de Escritorxs mujeres y disidentes de Mendoza,,2019,Mendoza;Argentina,,Mendoza,,,,Argentina,,,,,,,,,,,Fanzine,,Tulane University - The Doris Z. Stone Latin American Library and Research Center,,,,,,,Chuncanxs,,Mendoza;Argentina,Fanzine,letra-x,Chuncanxs,,Mendoza;Argentina,Fanzine,Chuncanxs,,Mendoza;Argentina,Fanzine,,Chuncanxs,,Mendoza;Argentina,Fanzine,Tulane University - The Doris Z. Stone Latin American Library and Research Center,,,
anatomiaspanking,https://www.scribd.com/document/417968123/Anatomia-de-Un-Spanking-Kinky-Vibe-2017,Anatomía de un Spanking,Unknown,,,Argentina,,Argentina,,,,,,,,,,,,,,,Fanzine,,Tulane University - The Doris Z. Stone Latin American Library and Research Center,,,,,,,Anatomía de un Spanking,"According to the public access version of this document on Scribd, it was published in 2017 in Buenos Aires, Argentina. It includes several expressions in gender-inclusive Spanish utilizing different strategies, like the neomorpheme -x in ""nalgueadxr"" and ""nalgueadx,"" and gender-inclusive variations like ""la persona que está siendo nalgada"" [the person who is being spanked in the ass]. ",Argentina,Fanzine,letra-x,Anatomía de un Spanking,"According to the public access version of this document on Scribd, it was published in 2017 in Buenos Aires, Argentina. It includes several expressions in gender-inclusive Spanish utilizing different strategies, like the neomorpheme -x in ""nalgueadxr"" and ""nalgueadx,"" and gender-inclusive variations like ""la persona que está siendo nalgada"" [the person who is being spanked in the ass]. ",Argentina,Fanzine,Anatomía de un Spanking,"According to the public access version of this document on Scribd, it was published in 2017 in Buenos Aires, Argentina. It includes several expressions in gender-inclusive Spanish utilizing different strategies, like the neomorpheme -x in ""nalgueadxr"" and ""nalgueadx,"" and gender-inclusive variations like ""la persona que está siendo nalgada"" [the person who is being spanked in the ass]. ",Argentina,Fanzine,,Anatomía de un Spanking,"According to the public access version of this document on Scribd, it was published in 2017 in Buenos Aires, Argentina. It includes several expressions in gender-inclusive Spanish utilizing different strategies, like the neomorpheme -x in ""nalgueadxr"" and ""nalgueadx,"" and gender-inclusive variations like ""la persona que está siendo nalgada"" [the person who is being spanked in the ass]. ",Argentina,Fanzine,Tulane University - The Doris Z. Stone Latin American Library and Research Center,,,
coherenciazine,,Coherencia,La Libre Arte y Libros,,2020,Argentina,,Argentina,,,,,,,,,,,,,,,Fanzine,,Tulane University - The Doris Z. Stone Latin American Library and Research Center,,,,,,,Coherencia,"Published in September 2020, during the COVID-19 pandemic crisis, this zine utilizes the neomorpheme -x as in ""lx oprimidx"" to articula Paulo Freire's critical pedagogy framework to reflect on the role of education and the educators in social change. The use of gender-inclusive neomorphemes emphasizes that the gender of the oppressed and the educator cannot be defined in binary categories. The center of the zine contains a rift and the zine is printed in a black and white sheet of legal paper, front and back. ",Argentina,Fanzine,letra-x,Coherencia,"Published in September 2020, during the COVID-19 pandemic crisis, this zine utilizes the neomorpheme -x as in ""lx oprimidx"" to articula Paulo Freire's critical pedagogy framework to reflect on the role of education and the educators in social change. The use of gender-inclusive neomorphemes emphasizes that the gender of the oppressed and the educator cannot be defined in binary categories. The center of the zine contains a rift and the zine is printed in a black and white sheet of legal paper, front and back. ",Argentina,Fanzine,Coherencia,"Published in September 2020, during the COVID-19 pandemic crisis, this zine utilizes the neomorpheme -x as in ""lx oprimidx"" to articula Paulo Freire's critical pedagogy framework to reflect on the role of education and the educators in social change. The use of gender-inclusive neomorphemes emphasizes that the gender of the oppressed and the educator cannot be defined in binary categories. The center of the zine contains a rift and the zine is printed in a black and white sheet of legal paper, front and back. ",Argentina,Fanzine,,Coherencia,"Published in September 2020, during the COVID-19 pandemic crisis, this zine utilizes the neomorpheme -x as in ""lx oprimidx"" to articula Paulo Freire's critical pedagogy framework to reflect on the role of education and the educators in social change. The use of gender-inclusive neomorphemes emphasizes that the gender of the oppressed and the educator cannot be defined in binary categories. The center of the zine contains a rift and the zine is printed in a black and white sheet of legal paper, front and back. ",Argentina,Fanzine,Tulane University - The Doris Z. Stone Latin American Library and Research Center,,,
